lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
E01000116,1680,0.1035,18.4026666666667,-1.134,0.598214285714286,0.208928571428571,0.235119047619048
E01000117,1779,0.1085,14.88,-1.174,0.58628442945475,0.199550309162451,0.281618887015177
E01000118,2019,0.128,17.728,-1.159,0.625061911837543,0.192669638434869,0.231797919762259
E01000119,1769,0.1005,14.4043333333333,-1.059,0.593555681175806,0.200678349349915,0.258338044092708
E01000120,1468,0.0925,11.9866666666667,-1.665,0.602179836512262,0.176430517711172,0.271117166212534
E01000121,1410,0.279,24.0006666666667,0.405,0.691489361702128,0.178014184397163,0.175177304964539
E01000122,1509,0.1115,16.1883333333333,-1.114,0.603048376408217,0.196156394963552,0.244532803180915
E01000123,1744,0.163,20.7823333333333,-0.419,0.666284403669725,0.19552752293578,0.196100917431193
E01000124,1894,0.237,24.9073333333333,-0.688,0.641499472016896,0.22544878563886,0.180042238648363
E01000126,2193,0.3275,28.212,0.223,0.719106247150023,0.192430460556316,0.120383036935705
E01000127,1551,0.29,29.0933333333333,-0.251,0.654416505480335,0.232753062540297,0.153449387491941
E01000128,2040,0.2645,31.6436666666667,-0.315,0.649509803921569,0.22843137254902,0.158823529411765
E01000129,1606,0.3745,34.5863333333333,0.353,0.658779576587796,0.210460772104608,0.171232876712329
E01000130,1921,0.2405,29.4636666666667,0.045,0.669442998438313,0.217074440395627,0.14263404476835
E01000131,1931,0.211,30.349,-1.111,0.660279647850854,0.203521491455205,0.179181771103055
E01000132,1594,0.289,30.425,0.158,0.663111668757842,0.244667503136763,0.120451693851945
E01000133,1617,0.2935,29.237,0.038,0.655534941249227,0.220779220779221,0.168212739641311
E01000134,1784,0.241,29.873,-0.154,0.651905829596413,0.227578475336323,0.146300448430493
E01000135,1715,0.1145,20.1983333333333,-1.153,0.61399416909621,0.182507288629738,0.248396501457726
E01000136,1473,0.0605,22.596,-1.848,0.571622539035981,0.205702647657841,0.264086897488119
E01000137,1686,0.3265,23.07,-0.009,0.633451957295374,0.245551601423488,0.151245551601424
E01000138,1624,0.2925,29.0543333333333,-0.162,0.661330049261084,0.190886699507389,0.211822660098522
E01000139,1424,0.151,27.0,-1.475,0.662921348314607,0.16502808988764,0.230337078651685
E01000140,1986,0.1775,21.825,-1.082,0.711983887210473,0.178751258811682,0.130412890231621
E01000141,1790,0.3105,39.225,-0.222,0.719553072625698,0.163128491620112,0.146368715083799
E01000142,2173,0.2875,24.0413333333333,-0.057,0.658536585365854,0.192820984813622,0.181776346065347
E01000143,1684,0.319,25.163,0.206,0.681116389548694,0.213776722090261,0.140736342042755
E01000144,1677,0.217,26.114,-0.683,0.694096601073345,0.194991055456172,0.147883124627311
E01000145,1607,0.2365,26.808,-0.993,0.547604231487243,0.271313005600498,0.208462974486621
E01000146,1868,0.2005,27.3976666666667,-0.577,0.733940042826552,0.149357601713062,0.161134903640257
E01000147,1995,0.15,34.0356666666667,-1.191,0.667669172932331,0.165413533834586,0.213032581453634
E01000150,2196,0.245,27.5226666666667,-0.851,0.644353369763206,0.207194899817851,0.19672131147541
