MSOA21CD,pop,working_pop,elderly_pop,child_pop,working_percent,elderly_percent,child_percent,econ_score,infrastructure_score,health_score
E02004896,8011,4696.999999999999,2621.999999999999,1220.9999999999993,0.5863188116340031,0.3272999625514916,0.15241542878541997,0.0962,13.132933333333312,-0.7836000000000001
E02004897,6786,3974.0000000000005,1808.9999999999995,1311.000000000001,0.5856174476864132,0.26657824933686997,0.19319186560565885,0.11,12.347499999999998,-0.8594999999999999
E02004898,7758,4692.0,1986.0000000000002,1490.9999999999995,0.6047950502706884,0.2559938128383604,0.19218870843000768,0.2064,19.11053333333332,-0.033400000000000006
E02004899,5272,3238.0,1378.0000000000011,961.0000000000005,0.6141881638846738,0.26138088012139626,0.18228376327769355,0.13225,23.168166666666675,-0.1785
E02004900,8189,4837.0,2232.0,1602.0000000000002,0.5906704115276591,0.2725607522285993,0.19562828184149472,0.0731,12.70913333333334,-1.2431999999999999
E02004901,10433,6658.999999999998,1833.0000000000011,2365.0000000000027,0.6382632032972297,0.175692514137832,0.2266845586120965,0.2495,20.982266666666657,0.2638
E02004902,8121,5097.0,1501.0000000000018,1861.0000000000014,0.6276320650166236,0.18482945450067748,0.229158970570127,0.2091,19.79166666666666,-0.041199999999999994
E02004903,7798,4909.0,1562.9999999999989,1651.0000000000007,0.6295203898435496,0.20043600923313656,0.21172095409079258,0.15575,16.379166666666677,-0.2465
E02004904,6808,4492.999999999999,1244.999999999999,1366.000000000001,0.6599588719153935,0.182873090481786,0.20064629847238558,0.187,17.578,-0.04425
E02004905,6558,3905.0,1755.0000000000014,1291.0,0.5954559316864898,0.2676120768526992,0.19685879841415066,0.09125,17.84258333333335,-0.9949999999999999
E02004906,11045,7138.0,1868.0000000000023,2520.0000000000036,0.6462652784065188,0.16912630149388885,0.22815753734721628,0.16774999999999998,16.24,-0.057
E02004907,10847,6534.0,2815.0000000000014,2102.0000000000005,0.6023785378445653,0.25951876094772763,0.19378630035954647,0.10991666666666666,13.41444444444444,-0.7726666666666667
E02004908,10685,5999.999999999999,3282.0000000000014,1968.0000000000018,0.561534861956013,0.3071595694899393,0.18418343472157248,0.07958333333333334,10.802277777777784,-0.9896666666666666
E02004909,5783,3705.0,1321.000000000001,1116.9999999999995,0.6406709320421926,0.22842815147847154,0.19315234307452872,0.12483333333333331,18.7271111111111,-0.5176666666666666
E02004910,11930,7012.000000000002,3145.0000000000014,2379.0000000000005,0.5877619446772843,0.2636211232187763,0.19941324392288354,0.07533333333333332,10.286944444444451,-1.2858333333333334
E02004911,7030,4227.999999999999,1803.999999999999,1387.999999999999,0.6014224751066855,0.2566145092460881,0.19743954480796574,0.186875,16.008916666666675,-0.12275000000000001
E02004912,10792,6854.999999999998,2790.0000000000014,1859.0,0.6351927353595254,0.25852483320978514,0.17225722757598222,0.10878571428571429,11.254809523809529,-0.5848571428571429
E02004914,7996,5000.000000000002,1716.0,1640.0000000000016,0.6253126563281644,0.21460730365182593,0.205102551275638,0.1822,17.020999999999997,-0.2238
E02004915,5579,3504.000000000001,1240.9999999999986,1076.0000000000002,0.6280695465137123,0.22244129772360613,0.19286610503674498,0.19575,15.906166666666676,-0.023999999999999994
E02004916,7452,4297.000000000001,2220.9999999999995,1359.9999999999993,0.5766237251744499,0.29804079441760595,0.1825013419216317,0.12119999999999997,11.393999999999988,-0.8815999999999999
E02004917,6324,3692.0000000000005,1933.0000000000005,1127.000000000001,0.5838077166350412,0.30566097406704623,0.17820999367488946,0.2012,16.34433333333333,-0.256
E02004918,8158,5554.000000000001,1395.0000000000016,1586.999999999999,0.6808041186565336,0.17099779357685727,0.1945329737680803,0.0984,12.094666666666646,-0.7114
E02004919,7639,4797.999999999998,1690.9999999999995,1569.0000000000005,0.6280926822882574,0.2213640528865034,0.20539337609634775,0.1257,9.902400000000007,-0.4824
E02004920,11560,6861.000000000001,3211.000000000001,2125.0000000000027,0.5935121107266437,0.27776816608996546,0.18382352941176494,0.13258333333333336,11.550388888888898,-0.7026666666666667
E02004921,8007,4798.000000000001,2007.000000000001,1586.9999999999995,0.5992256775321595,0.25065567628325225,0.19820157362307975,0.06220000000000001,7.318133333333333,-1.3106
E02004922,10294,6119.000000000002,2985.000000000002,1946.0000000000005,0.5944239362735576,0.28997474256848665,0.18904216048183412,0.11216666666666665,22.014,-0.8283333333333333
E02004923,10579,6245.999999999998,3275.000000000001,1876.999999999999,0.5904149730598354,0.30957557425087445,0.17742697797523388,0.09391666666666666,15.438611111111115,-1.0395
E02004924,7697,4476.0,1606.0,1962.0000000000011,0.5815252695855528,0.20865272183967778,0.2549045082499677,0.057100000000000005,5.398733333333334,-1.6350000000000002
E02004925,7950,4590.0,1575.000000000002,2036.0000000000002,0.5773584905660377,0.19811320754717007,0.25610062893081764,0.0886,5.995333333333332,-1.2624
E02004926,8259,4637.0,2115.0000000000005,1907.999999999999,0.5614481172054728,0.25608427170359616,0.2310207046857972,0.0395,6.7898,-1.8742
E02004927,6836,3764.9999999999995,1949.9999999999995,1509.0000000000005,0.5507606787595084,0.28525453481568164,0.22074312463428913,0.091625,12.822999999999993,-1.34475
E02004928,6823,3887.000000000001,1893.0000000000007,1447.0,0.5696907518686796,0.2774439396160048,0.2120767990619962,0.03875,7.297083333333324,-2.0015
