lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
W01000581,1409,8.05,23.88,3.4,0.563520227111427,0.112136266855926,0.430092264017033
W01000582,1658,7.65,34.56,4.2,0.566344993968637,0.153196622436671,0.387213510253317
W01000583,1482,12.6,20.6,9.7,0.578947368421053,0.193657219973009,0.280701754385965
W01000584,2006,12.45,23.14,9.4,0.566799601196411,0.154037886340977,0.36839481555334
W01000585,1344,5.35,31.44,4.6,0.60639880952381,0.136904761904762,0.382440476190476
W01000586,2190,33.0,19.78,29.7,0.589954337899543,0.191780821917808,0.282191780821918
W01000587,2060,24.05,20.78,27.1,0.59126213592233,0.149514563106796,0.334466019417476
W01000588,2400,37.7,31.0,37.8,0.607083333333333,0.212083333333333,0.249583333333333
W01000589,1150,28.85,17.84,31.2,0.613913043478261,0.194782608695652,0.244347826086957
W01000590,1191,19.45,12.62,19.6,0.571788413098237,0.142737195633921,0.393786733837112
W01000591,1635,23.05,22.38,18.4,0.617125382262997,0.198165137614679,0.250152905198777
W01000592,1334,51.9,32.12,35.2,0.583958020989505,0.24287856071964,0.218890554722639
W01000594,2170,45.55,29.82,35.7,0.61705069124424,0.197235023041475,0.253456221198157
W01000595,2379,15.05,7.78,13.7,0.556536359815048,0.182429592265658,0.330811265237495
W01000596,1781,4.05,15.66,5.0,0.573834924199888,0.151038742279618,0.359348680516564
W01000597,1057,14.4,14.18,2.7,0.489120151371807,0.12961210974456,0.482497634815516
W01000598,2148,22.25,9.72,14.3,0.582867783985102,0.161080074487896,0.34171322160149
W01000599,1979,25.6,19.52,20.5,0.582617483577564,0.161192521475493,0.329964628600303
W01000600,1575,45.85,28.66,46.7,0.645079365079365,0.15047619047619,0.282539682539683
W01000601,1544,67.2,32.82,59.2,0.563471502590674,0.265544041450777,0.223445595854922
W01000602,1193,24.95,15.26,23.9,0.561609388097234,0.150041911148365,0.377200335289187
W01000603,1821,15.85,22.2,24.1,0.639209225700165,0.155958264689731,0.266886326194399
