pfa_code,pfa_name,msoa_code,msoa_name,month,bucket,capacity_version,demand_q25,demand,demand_q75,weighted_demand_q25,weighted_demand,weighted_demand_q75,baseline_alloc,variable_alloc,total_alloc,share_of_force_capacity,total_capacity,prev_month_total_alloc,alloc_change_abs,alloc_change_pct,demand_iqr,demand_iqr_ratio,prev_month_demand,demand_change_abs,demand_change_pct,uncertainty_flag
E23000001,Metropolitan Police,E02000577,Kensington and Chelsea 001,2026-02,acquisitive_crime,wider_local_policing,7.075799999999999,18.4168,34.900800000000004,3.00854,8.354140000000001,16.431075,2.4099494503114225,1.4018465224879335,3.811795972799356,0.000276979797471251,13762.0,3.8699011571280773,-0.05810518432872147,-1.5014643002366077,27.825000000000003,1.5108487902350032,20.5641,-2.1473000000000013,-10.441983845633903,True
E23000001,Metropolitan Police,E02000691,Merton 003,2026-02,acquisitive_crime,wider_local_policing,10.1458,18.066399999999998,34.5477,4.058495000000001,7.398655,15.197310000000002,2.2425443109611902,1.241513642677518,3.4840579536387084,0.0002531650889143081,13762.0,3.552521568763737,-0.06846361512502863,-1.9271836581376112,24.401899999999998,1.3506786078023292,20.3182,-2.251800000000003,-11.08267464637617,True
E23000001,Metropolitan Police,E02000697,Merton 009,2026-02,acquisitive_crime,wider_local_policing,1.663,8.2293,24.657400000000003,0.6652,3.50879,11.529135,2.6616794832748747,0.5887841309387244,3.250463614213599,0.00023619122323888963,13762.0,3.3700848814528355,-0.1196212672392365,-3.5495030970160033,22.994400000000002,2.7942109292406405,10.684899999999999,-2.4555999999999987,-22.98196520323072,True
E23000001,Metropolitan Police,E02000828,Southwark 022,2026-02,acquisitive_crime,wider_local_policing,11.124099999999999,29.1657,49.1144,4.886265,13.13789,22.703464999999998,2.81943860158448,2.204572273068083,5.0240108746525625,0.00036506400774978656,13762.0,5.308836699530684,-0.2848258248781219,-5.365126881813888,37.990300000000005,1.3025677422451716,35.5537,-6.387999999999998,-17.967187662606136,True
E23000001,Metropolitan Police,E02000866,Tower Hamlets 003,2026-02,acquisitive_crime,wider_local_policing,11.564400000000001,25.271199999999997,45.6387,4.871425,11.37184,21.023,3.4339834904631186,1.908224468142643,5.342207958605762,0.00038818543515519273,13762.0,5.4304255643696155,-0.08821760576385351,-1.6245063065162213,34.0743,1.348345151793346,28.305,-3.033800000000003,-10.71824765942414,True
E23000001,Metropolitan Police,E02000870,Tower Hamlets 007,2026-02,local_reassurance,wider_local_policing,2.1977,6.3505,13.1384,0.988965,2.8577250000000003,5.91228,1.4823756205659928,0.4795337226185854,1.9619093431845782,0.0001425598999552811,13762.0,2.098476835113636,-0.1365674919290576,-6.507934214182652,10.9407,1.7228092276198723,8.665000000000001,-2.3145000000000007,-26.71090594345067,True
E23000001,Metropolitan Police,E02000875,Tower Hamlets 012,2026-02,local_reassurance,wider_local_policing,6.2093,13.3659,23.8657,2.7941849999999997,6.014655,10.739565,2.726245591853263,1.0092748260999527,3.7355204179532153,0.0002714373214615038,13762.0,3.931756226841084,-0.19623580888786885,-4.991047195353,17.6564,1.3210034490756328,16.9546,-3.5886999999999993,-21.166527078197063,True
E23000001,Metropolitan Police,E02000888,Tower Hamlets 025,2026-02,local_reassurance,wider_local_policing,5.0522,10.1558,18.4133,2.27349,4.57011,8.285985,2.027064647392351,0.7668764003101849,2.793941047702536,0.00020301853274978462,13762.0,2.9259822717478077,-0.13204122404527174,-4.512714424834781,13.3611,1.3156127533035311,12.6426,-2.4868000000000006,-19.670004587663932,True
E23000001,Metropolitan Police,E02000890,Tower Hamlets 027,2026-02,local_reassurance,wider_local_policing,3.4294,7.6647,13.8974,1.5432299999999999,3.449115,6.25383,1.3519209650407424,0.5787705099999483,1.9306914750406907,0.0001402914892487059,13762.0,2.049320521044101,-0.11862904600341029,-5.788701415187624,10.468,1.3657416467702586,9.8084,-2.143700000000001,-21.855756290526497,True
E23000001,Metropolitan Police,E02000907,Waltham Forest 013,2026-01,local_reassurance,wider_local_policing,6.4399,13.0236,22.768700000000003,2.897955,5.86062,10.245915,2.455768050254399,0.9260075912040029,3.3817756414584017,0.00024573286160866167,13762.0,3.253920717093494,0.12785492436490786,3.9292575167323673,16.3288,1.2537854356706288,10.9978,2.0258000000000003,18.42004764589282,True
E23000001,Metropolitan Police,E02000946,Wandsworth 024,2026-02,disorder_damage,wider_local_policing,8.5622,20.2906,38.6154,8.4753,19.12156,34.94132,1.961020519460963,3.2086477352000764,5.1696682546610395,0.00037564803478135734,13762.0,5.349517947577006,-0.1798496929159663,-3.3619794283974103,30.0532,1.4811390496091785,22.711699999999997,-2.4210999999999956,-10.66014433089551,True
